 sid  |   code   | stid | nitems 
 5358 | r2tWLcc6 |   14 |     20
 5360 | r2t5aUfj |   14 |     20
 5361 | r2txMPXz |   14 |     20
 5364 | r2tUY429 |   14 |     20
 5365 | r2t7dDLW |   14 |     20
 5369 | r2tbqfCF |   14 |     20
 5370 | r2tx4TJF |   14 |     20
 5372 | r2tYyjKa |   14 |     20
 5377 | r2t9B2Kx |   14 |     20
 5379 | r2tfHSfR |   14 |     20
 5380 | r2th3UXV |   14 |     20
 5382 | r2t7AijU |   14 |     20
 5383 | r2tGJyPa |   14 |     20
 5386 | r2tzeCej |   14 |     20
 5387 | r2tQvYWX |   14 |     20
 5388 | r2tH6YwT |   14 |     20
 5390 | r2tYry4g |   14 |     20
 5392 | r2tA6fjM |   14 |     20
 5396 | r2tDd6xt |   14 |     20
 5399 | r2tjWH2V |   14 |     20
 5401 | r2tQVHkD |   14 |     20
 5404 | r2tuKQQ8 |   14 |     20
 5405 | r2t8SwJh |   14 |     20
 5409 | r2tcPgyZ |   14 |     20
 5414 | r2tm3G8t |   14 |     20
 5416 | r2tzm64W |   14 |     20
 5417 | r2tpafJw |   14 |     20
 5418 | r2thrH9x |   14 |     20
 5419 | r2tRAm9y |   14 |     20
 5423 | r2t5ug2W |   14 |     20
 5425 | r2t8pzTc |   14 |     20
 5426 | r2t4Zsr4 |   14 |     20
 5427 | r2tShLFm |   14 |     20
 5428 | r2tm6tXh |   14 |     20
 5430 | r2tbwxqX |   14 |     20
 5435 | r2tvZZRK |   14 |     20
 5437 | r2tN3SRh |   14 |     20
 5440 | r2tGhh6C |   14 |     20
 5444 | r2tGabJG |   14 |     20
 5445 | r2t28y4v |   14 |     20
 5446 | r2tYAtbb |   14 |     20
 5447 | r2tRSM42 |   14 |     20
 5450 | r2t2Ffdh |   14 |     20
 5452 | r2tVrt3v |   14 |     20
 5453 | r2trhfcm |   14 |     20
 5455 | r2t5Qkfq |   14 |     20
 5456 | r2tcM7Cf |   14 |     20
 5457 | r2tKjD8f |   14 |     20
 5458 | r2tt2oVR |   14 |     20
 5461 | r2t3m2CY |   14 |     20
 5463 | r2t9YWaE |   14 |     20
 5464 | r2tYnwZR |   14 |     20
 5465 | r2tfAZcS |   14 |     20
 5466 | r2tVw8e2 |   14 |     20
 5468 | r2tz83Uk |   14 |     20
 5469 | r2tL4nsi |   14 |     20
 5472 | r2tAfT8m |   14 |     20
 5473 | r2tBcNmv |   14 |     20
 5477 | r2tciw2u |   14 |     20
 5478 | r2tgJugh |   14 |     20
 5479 | r2tSnM4a |   14 |     20
 5481 | r2tA2sn2 |   14 |     20
 5483 | r2tEt2o7 |   14 |     20
 5485 | r2tBgGyz |   14 |     20
 5486 | r2t3rukR |   14 |     20
 5487 | r2tzCHwb |   14 |     20
 5488 | r2tQLhqY |   14 |     20
 5489 | r2tNbhR5 |   14 |     20
 5491 | r2tnjpZF |   14 |     20
 5494 | r2tA2zzB |   14 |     20
 5501 | r2tgVGrB |   14 |     20
 5503 | r2tK3Z77 |   14 |     20
 5505 | r2t7msTj |   14 |     20
 5506 | r2trqgM2 |   14 |     20
 5507 | r2tp97Cm |   14 |     20
 5508 | r2tRZEQz |   14 |     20
 5510 | r2tWJLgw |   14 |     20
 5511 | r2tzKjuM |   14 |     20
 5516 | r2tcEnqM |   14 |     20
 5518 | r2t6yoJA |   14 |     20
 5519 | r2tGCqoz |   14 |     20
 5523 | r2tR4pv2 |   14 |     20
 5525 | r2t7y9jM |   14 |     20
 5526 | r2tm59XV |   14 |     20
 5528 | r2tgUUHt |   14 |     20
 5530 | r2tyrroJ |   14 |     20
 5531 | r2tiSAyW |   14 |     20
 5532 | r2taGzQD |   14 |     20
 5535 | r2t8656m |   14 |     20
 5537 | r2tVEkFM |   14 |     20
 5538 | r2toKGTC |   14 |     20
 5539 | r2tnwnhF |   14 |     20
 5541 | r2tciAv4 |   14 |     20
 5546 | r2tCghT9 |   14 |     20
 5549 | r2tyowYT |   14 |     20
 5554 | r2t7Khvr |   14 |     20
 5556 | r2tn7MZB |   14 |     20
 5558 | r2tcKDA6 |   14 |     20
 5562 | r1tV7yUy |   13 |     20
 5565 | r2tyTxDf |   14 |     20
 5572 | r2tRUxkY |   14 |     20
 5575 | r2tMimUy |   14 |     20
 5576 | r1tjrZXj |   13 |     20
 5577 | r2tiB9Y3 |   14 |     20
 5578 | r2tkp8XP |   14 |     20
 5579 | r2toSib3 |   14 |     20
 5582 | r2tWYyNf |   14 |     20
 5583 | r2tHT5mr |   14 |     20
 5586 | r2t7A7ft |   14 |     20
 5589 | r2toEzCG |   14 |     20
 5591 | r2t5tzkZ |   14 |     20
 5592 | r2td5TJL |   14 |     20
 5594 | r2t9LJv5 |   14 |     20
 5595 | r2tFjysj |   14 |     20
 5598 | r2ttUtBi |   14 |     20
 5600 | r2tC3oaF |   14 |     20
 5602 | r2tRURrt |   14 |     20
 5603 | r2tWS9LG |   14 |     20
 5604 | r2tjHdgp |   14 |     20
 5608 | r2tJ4hVH |   14 |     20
 5611 | r2tyumhn |   14 |     20
 5612 | r2tXwedP |   14 |     20
 5615 | r2tvBujD |   14 |     20
 5616 | r2tKzxQT |   14 |     20
 5617 | r2tLjXDp |   14 |     20
 5618 | r2t42iT6 |   14 |     20
 5619 | r2tkv4Dq |   14 |     20
 5622 | r2teGLt6 |   14 |     20
 5626 | r2thzVvU |   14 |     20
 5627 | r2tDD7GY |   14 |     20
 5628 | r2tz5WB9 |   14 |     20
 5629 | r2tXPVkc |   14 |     20
 5631 | r2tetivN |   14 |     20
 5638 | r2tqKkSC |   14 |     20
 5642 | r2tEnJd9 |   14 |     20
 5643 | r2tiGn3S |   14 |     20
 5645 | r2tWvVYc |   14 |     20
 5646 | r2toswJU |   14 |     20
 5647 | r2tSxXT4 |   14 |     20
 5649 | r2tDLJrR |   14 |     20
 5650 | r2tR9vCm |   14 |     20
 5651 | r2tyCKJV |   14 |     20
 5654 | r2tHbXUy |   14 |     20
 5656 | r2toqvP7 |   14 |     20
 5660 | r2ta3RbU |   14 |     20
 5664 | r2tgdFRW |   14 |     20
 5667 | r2tdfYPQ |   14 |     20
 5668 | r2tRKD8R |   14 |     20
 5670 | r2tdAGfV |   14 |     20
 5672 | r2t9FwCz |   14 |     20
 5674 | r2t5s7Do |   14 |     20
 5676 | r2taj5An |   14 |     20
 5678 | r2tB5PBS |   14 |     20
 5679 | r2t8eqPs |   14 |     20
 5680 | r2tMhLso |   14 |     20
 5682 | r2tNK9k7 |   14 |     20
 5683 | r2tJNtQe |   14 |     20
 5684 | r2tfJd7E |   14 |     20
 5693 | r2tTGsZ2 |   14 |     20
 5694 | r2tmgSi9 |   14 |     20
 5698 | r2t2P2R4 |   14 |     20
 5699 | r2tFpyny |   14 |     20
